,CASEID,SURV_LANG,FITIN,FRIEND1,FRIEND2,FRIEND3,FRIEND4_1,FRIEND4_2,FRIEND4_3,FRIEND4_4,FRIEND4_5,FRIEND4_6,FRIEND5,FRIEND6_1,FRIEND6_2,FRIEND6_3,FRIEND6_4,FRIEND6_5,FRIEND6_6,FRIEND6_7,DEVICEA,DEVICEB,DEVICEC,DEVICED,HOMEWORKA,HOMEWORKB,HOMEWORKC,INTREQ,GAMING,SNS1_1,SNS1_2,SNS1_3,SNS1_4,SNS1_5,SNS1_6,SNS1_7,SNS1_8,SNS2,SOC1,SOC1A_GOOD_1,SOC1A_GOOD_2,SOC1A_GOOD_3,SOC1A_GOOD_4,SOC1A_GOOD_5,SOC1A_GOOD_6,SOC1A_GOOD_7,SOC1A_BAD_1,SOC1A_BAD_2,SOC1A_BAD_3,SOC1A_BAD_4,SOC1A_BAD_5,SOC1A_BAD_6,SOC1A_BAD_7,SOC1A_OTHER,SOC1A_DK_REF,POST1A,POST1B,POST1C,POST1D,POST1E,POST2_1,POST2_2,POST2_3,POST2_4,POST2_5,POST2_6,POST2_7,POST2_8,SOC2POSA,SOC2POSB,SOC2POSC,SOC2POSD,SOC2NEGA,SOC2NEGB,SOC2NEGC,SOC2NEGD,SOC4A,SOC4B,SOC4C,SOC4D,SOC5A,SOC5B,SOC5C,SOC6,SOC7_1,SOC7_2,SOC7_3,SOC7_4,SOC7_5,SOC7_6,SOCEXPA,SOCEXPB,SOCEXPC,SOCEXPD,WORRYA,WORRYB,WORRYC,LIMITA,LIMITB,LIMITC,CELL1_1,CELL1_2,CELL1_3,CELL1_4,CELL1_5,CELL1_6,CELL2A,CELL2B,CELL2C,CELL2D,CELL3A,CELL3B,CELL3C,DISTRACT,GROUP1,GROUP2_1,GROUP2_2,GROUP2_3,GROUP2_4,GROUP2_5,GROUP2_6,GROUP2_7,GROUP2_8,GROUP2_9,GROUP2_10,GROUP2_11,GROUP3A,GROUP3B,GROUP3C,GROUP3D,OH1A,OH1B,OH1C,OH1D,OH2A,OH2B,OH2C,OH2D,OH2E,OH2F,OH3_1,OH3_2,OH3_3,OH3_4,OH3_5,OH3_6,OH3_7,GUN1,GUN2A,GUN2B,GUN2C,GUN2D,GUN2E,GENDER,AGE,P_EDUC,RACETHNICITY,HOME_TYPE,HOUSING,INCOME,INTERNET,PHONESERVICE,METRO,REGION4,HHSIZE,HH01,HH25,HH612,HH1317,HH18OV,CO_DATE,DURATION,SURV_MODE,MODE_END,DEVICE,WEIGHT
1,7,,2,2,1,3,1,1,1,0,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,3,2,4,1,1,0,1,0,1,1,0,0,0,2.0,2,,,,,,,,1.0,,,,,,,,,2,2.0,3.0,1.0,3.0,1,1,0,0,1,0,1,0,2,2,3,1,3,3,2.0,2,1.0,1.0,1.0,1.0,4,4,4,3,,,,,,,1,4,1,1,1,1,2,2,2,1.0,1,0,0,0,1,0,1,2,1,4,3.0,1.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,1,1,1,2,1,3,2,2,4,4,1,1,1,1,1,0,0,4,1,4,4,3,4,1.0,15,10.0,2.0,3,2,9,1,2,1,3,6,0,0,2,2,4,20180324,17.85,2,2,,0.313173101
3,10,,1,4,3,2,0,1,1,0,1,0,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,4,4,4,1,1,0,1,1,1,1,0,1,0,6.0,2,,,,,,,,,,,1.0,,,,,,4,4.0,3.0,1.0,4.0,0,0,0,0,1,0,1,0,2,1,3,1,2,1,3.0,3,1.0,1.0,2.0,1.0,3,3,4,3,,,,,,,1,3,1,1,1,1,1,2,2,2.0,1,0,0,0,1,0,2,2,1,1,1.0,1.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2,1,1,1,4,4,4,4,4,3,1,0,0,0,0,0,0,4,2,4,3,1,1,1.0,17,9.0,1.0,1,2,3,1,2,0,1,3,0,0,0,1,2,20180402,9.733333333,2,2,,0.76210806
4,13,,2,4,4,2,0,1,0,0,1,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1,1,1,4,4,4,2,1,0,0,1,0,1,0,0,0,5.0,2,,,,,,,,,1.0,,,,,,,,4,4.0,4.0,3.0,4.0,1,0,1,0,0,0,0,0,3,2,3,3,2,1,2.0,2,2.0,2.0,1.0,2.0,2,2,4,4,,,,,,,2,3,1,1,2,1,3,2,2,1.0,0,0,0,0,0,1,4,2,1,1,4.0,4.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,1,1,1,1,3,4,4,4,4,3,0,0,0,0,0,0,1,1,1,3,1,1,1,2.0,15,10.0,3.0,1,1,11,1,2,1,4,6,0,0,1,2,3,20180308,14.63333333,2,2,,0.84267515
5,14,,2,2,1,3,0,1,1,1,0,0,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,1,2,4,4,4,2,1,0,1,0,1,1,0,0,0,2.0,3,,,,,,,,,,,,,,,,,4,3.0,1.0,2.0,4.0,0,0,0,0,0,0,0,1,2,2,1,2,2,3,3.0,2,2.0,2.0,2.0,1.0,2,3,3,3,,,,,,,3,4,2,2,1,1,3,1,1,1.0,0,1,0,1,0,0,1,2,1,3,2.0,3.0,4.0,2.0,4.0,,,,,,,,,,,,,,,,1,1,2,1,3,2,3,2,3,1,0,0,0,0,0,0,1,2,1,1,3,1,2,2.0,13,13.0,2.0,1,1,13,1,2,1,1,6,1,0,0,1,4,20180324,11.15,2,2,,0.562005712
6,16,,2,1,1,1,0,1,1,1,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,2,1,2,4,1,3,1,2,1,0,0,1,1,0,0,0,1.0,2,,,,,,,,,,,,1.0,,,,,2,3.0,2.0,2.0,3.0,1,1,1,0,1,1,1,0,1,1,1,1,3,2,3.0,3,1.0,1.0,2.0,1.0,4,3,4,2,1.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,1,1,,1,1,,0,0,0,0,0,1,1,1,1,1,2.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,3,1,1,4,4,4,4,4,4,1,0,1,0,0,0,0,4,2,3,4,3,4,2.0,17,13.0,2.0,3,1,11,1,4,1,2,4,0,0,0,1,3,20180308,14.0,2,2,,0.147292193
9,22,,1,4,3,2,0,0,0,0,0,1,1,,,,,,,,1,1,1,1,4,3,4,1,1,1,1,0,1,1,1,0,0,6.0,2,,,,,,,,,1.0,,,,,,,,3,3.0,3.0,3.0,3.0,0,0,0,1,0,0,1,0,3,3,3,3,3,3,3.0,3,2.0,2.0,1.0,2.0,4,3,4,1,1.0,1.0,0.0,0.0,0.0,0.0,1,3,1,3,2,2,2,1,1,1.0,0,0,0,0,0,1,3,4,1,1,4.0,4.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,1,1,1,1,4,3,4,3,4,2,1,1,1,0,1,1,0,4,1,1,4,1,1,2.0,13,1.0,2.0,2,2,9,1,4,1,2,4,0,0,0,1,3,20180322,18.88333333,1,1,,0.217965615
10,23,,2,4,1,2,0,0,0,1,0,0,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,2,2,2,1,1,0,1,1,1,1,0,0,0,3.0,3,,,,,,,,,,,,,,,,,2,1.0,2.0,2.0,2.0,1,0,1,0,0,0,1,0,2,2,1,2,3,2,1.0,1,2.0,1.0,2.0,1.0,3,3,2,1,1.0,1.0,0.0,1.0,0.0,0.0,1,2,2,1,1,1,3,2,2,1.0,1,0,0,0,1,0,2,2,1,3,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1,2,1,2,3,2,2,2,2,3,1,0,1,0,0,0,0,2,2,3,1,2,1,2.0,13,9.0,1.0,1,1,7,1,2,0,1,6,1,0,1,1,3,20180323,18.01666667,2,2,,3.049794614
11,25,,1,3,1,3,0,0,1,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2,1,1,4,3,4,3,1,0,1,0,1,1,0,0,0,4.0,2,,,,,,,,,1.0,,,,,,,,3,2.0,2.0,4.0,4.0,0,0,1,0,0,0,0,0,3,3,3,2,3,3,3.0,3,2.0,1.0,2.0,1.0,4,4,2,4,,,,,,,4,4,4,77,3,3,3,2,2,1.0,0,0,0,0,0,1,2,3,1,4,3.0,2.0,2.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,1,2,2,1,4,4,3,2,3,4,0,0,0,0,0,0,1,3,2,2,2,2,2,1.0,15,12.0,1.0,1,1,14,1,2,1,4,3,0,0,0,1,2,20180308,8.1,2,2,,1.769191063
12,31,,2,2,1,1,1,0,0,0,1,0,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,2,1,4,2,3,1,1,1,1,0,1,1,1,0,0,4.0,2,,,,,,,,,,,,,,1.0,,,1,2.0,1.0,2.0,2.0,1,1,1,0,1,0,1,0,1,1,1,2,2,2,2.0,1,1.0,1.0,2.0,1.0,4,2,2,2,1.0,1.0,0.0,0.0,1.0,0.0,1,2,2,3,1,1,2,2,2,1.0,1,0,1,0,1,0,1,2,3,3,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,1,3,2,1,2,4,3,3,3,3,1,0,1,0,1,1,0,3,1,2,3,1,1,2.0,15,11.0,4.0,3,2,4,1,4,1,1,4,1,1,0,1,1,20180405,24.35,2,2,,0.026087727
13,37,,2,2,1,3,0,1,0,0,0,0,3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,4,1,4,1,1,0,1,1,1,1,0,0,0,4.0,2,,,,,,,,1.0,,,,,,,,,1,2.0,1.0,1.0,3.0,1,1,1,0,1,0,1,0,2,2,1,1,2,1,1.0,1,2.0,2.0,2.0,2.0,1,2,1,1,1.0,1.0,0.0,1.0,1.0,0.0,2,4,1,1,1,1,2,2,2,1.0,1,0,1,0,1,0,2,3,1,1,1.0,1.0,4.0,1.0,4.0,,,,,,,,,,,,,,,,1,1,1,2,4,4,1,2,3,4,1,1,1,1,1,1,0,1,1,2,4,1,2,2.0,14,10.0,3.0,2,2,9,1,4,1,2,5,0,1,1,1,2,20180404,13.86666667,2,2,,1.044485341
